Values, R:100000, C:1e-05, E:5
Time,Vc
0.351,1.48008
0.352,1.4836
0.353,1.48711
0.354,1.49063
0.355,1.49413
0.356,1.49764
0.357,1.50114
0.358,1.50463
0.359,1.50813
0.36,1.51162
0.361,1.51511
0.362,1.51859
0.363,1.52207
0.364,1.52554
0.365,1.52902
0.366,1.53249
0.367,1.53595
0.368,1.53941
0.369,1.54287
0.37,1.54633
0.371,1.54978
0.372,1.55323
0.373,1.55667
0.374,1.56012
0.375,1.56355
0.376,1.56699
0.377,1.57042
0.378,1.57385
0.379,1.57727
0.38,1.58069
0.381,1.58411
0.382,1.58752
0.383,1.59094
0.384,1.59434
0.385,1.59775
0.386,1.60115
0.387,1.60454
0.388,1.60794
0.389,1.61133
0.39,1.61472
0.391,1.6181
0.392,1.62148
0.393,1.62486
0.394,1.62823
0.395,1.6316
0.396,1.63497
0.397,1.63833
0.398,1.64169
0.399,1.64505
0.4,1.6484
0.401,1.65175
0.402,1.6551
0.403,1.65844
0.404,1.66178
0.405,1.66512
0.406,1.66845
0.407,1.67178
0.408,1.67511
0.409,1.67843
0.41,1.68175
0.411,1.68507
0.412,1.68838
0.413,1.69169
0.414,1.695
0.415,1.6983
0.416,1.7016
0.417,1.7049
0.418,1.70819
0.419,1.71148
0.42,1.71477
0.421,1.71805
0.422,1.72133
0.423,1.72461
0.424,1.72788
0.425,1.73115
0.426,1.73442
0.427,1.73768
0.428,1.74094
0.429,1.7442
0.43,1.74745
0.431,1.75071
0.432,1.75395
0.433,1.7572
0.434,1.76044
0.435,1.76368
0.436,1.76691
0.437,1.77014
0.438,1.77337
0.439,1.7766
0.44,1.77982
0.441,1.78304
0.442,1.78625
0.443,1.78946
0.444,1.79267
0.445,1.79588
0.446,1.79908
0.447,1.80228
0.448,1.80548
0.449,1.80867
0.45,1.81186
0.451,1.81505
0.452,1.81823
0.453,1.82141
0.454,1.82459
0.455,1.82776
0.456,1.83093
0.457,1.8341
0.458,1.83726
0.459,1.84042
0.46,1.84358
0.461,1.84674
0.462,1.84989
0.463,1.85304
0.464,1.85618
0.465,1.85932
0.466,1.86246
0.467,1.8656
0.468,1.86873
0.469,1.87186
0.47,1.87499
0.471,1.87811
0.472,1.88123
0.473,1.88435
0.474,1.88746
0.475,1.89057
0.476,1.89368
0.477,1.89679
0.478,1.89989
0.479,1.90299
0.48,1.90608
0.481,1.90918
0.482,1.91226
0.483,1.91535
0.484,1.91843
0.485,1.92151
0.486,1.92459
0.487,1.92766
0.488,1.93074
0.489,1.9338
0.49,1.93687
0.491,1.93993
0.492,1.94299
0.493,1.94604
0.494,1.9491
0.495,1.95215
0.496,1.95519
0.497,1.95824
0.498,1.96128
0.499,1.96431
0.5,1.96735
0.501,1.97038
0.502,1.97341
0.503,1.97643
0.504,1.97945
0.505,1.98247
0.506,1.98549
0.507,1.9885
0.508,1.99151
0.509,1.99452
0.51,1.99752
0.511,2.00052
0.512,2.00352
0.513,2.00652
0.514,2.00951
0.515,2.0125
0.516,2.01548
0.517,2.01847
0.518,2.02145
0.519,2.02442
0.52,2.0274
0.521,2.03037
0.522,2.03334
0.523,2.0363
0.524,2.03926
0.525,2.04222
0.526,2.04518
0.527,2.04813
0.528,2.05108
0.529,2.05403
0.53,2.05698
0.531,2.05992
0.532,2.06286
0.533,2.06579
0.534,2.06872
0.535,2.07165
0.536,2.07458
0.537,2.0775
0.538,2.08043
0.539,2.08334
0.54,2.08626
0.541,2.08917
0.542,2.09208
0.543,2.09499
0.544,2.09789
0.545,2.10079
0.546,2.10369
0.547,2.10658
0.548,2.10948
0.549,2.11236
0.55,2.11525
0.551,2.11813
0.552,2.12101
0.553,2.12389
0.554,2.12677
0.555,2.12964
0.556,2.13251
0.557,2.13537
0.558,2.13824
0.559,2.1411
0.56,2.14395
0.561,2.14681
0.562,2.14966
0.563,2.15251
0.564,2.15536
0.565,2.1582
0.566,2.16104
0.567,2.16388
0.568,2.16671
0.569,2.16954
0.57,2.17237
0.571,2.1752
0.572,2.17802
0.573,2.18084
0.574,2.18366
0.575,2.18648
0.576,2.18929
0.577,2.1921
0.578,2.1949
0.579,2.19771
0.58,2.20051
0.581,2.20331
0.582,2.2061
0.583,2.20889
0.584,2.21168
0.585,2.21447
0.586,2.21725
0.587,2.22004
0.588,2.22281
0.589,2.22559
0.59,2.22836
0.591,2.23113
0.592,2.2339
